x_vals,y_vals,labels
78.934074,7.9958825,soir
-43.121952,-5.5400276,maréchal
72.13292,17.019785,donné
64.42249,19.420126,cause
53.7209,16.658714,disait
22.23156,22.989286,adeline
78.75226,0.32097292,presque
-15.658535,18.296185,artiste
2.626721,21.091677,vieillard
78.58478,-2.3559697,mains
72.07955,18.986925,choses
71.86779,20.300526,pourquoi
14.52556,9.742017,procureur
44.06438,-6.289375,maître
1.2753342,-2.268811,mariage
61.846786,8.254959,alla
77.822754,-6.582794,aujourd
-15.326504,20.258507,che
77.250916,-8.56315,hui
79.779625,4.2132697,larmes
78.42006,11.23055,vit
79.274185,1.8334765,amis
-39.79417,-22.371428,vingt
79.234955,4.79531,veut
-9.238985,-22.721033,asie
78.712036,10.371539,mal
78.28114,-4.858076,quel
42.285774,0.102124676,sommes
-46.396954,11.829059,salon
67.00479,22.988712,allez
77.22336,-8.647994,vers
79.10807,-1.2076237,seule
70.58936,20.144197,ancien
51.923084,17.477005,trouver
79.764145,8.448151,bas
79.32356,0.87547934,eux
79.34101,3.925867,âme
-25.691067,-41.177505,ville
-4.339862,-14.526241,médecin
55.62667,19.416496,voiture
75.89846,14.940792,rendre
79.11709,-1.4161059,quoi
63.590656,17.181816,duc
69.22576,19.27526,oreille
74.914116,15.838184,mettre
-48.538654,-1.9708737,descoings
79.74966,0.3044278,parler
10.436629,3.365575,mit
79.43381,7.5730906,doute
76.77694,12.8677025,allait
58.692116,19.217833,allons
49.6806,-11.538076,trouva
74.72256,15.599959,grands
57.0375,11.783769,manière
72.74618,20.710138,lui-même
70.347565,20.85941,lit
-11.006566,22.664488,présidente
79.42509,11.400153,venait
79.97121,3.1283402,beau
65.95724,16.335835,trouvait
78.81982,-4.058797,grande
45.15603,0.9177034,surtout
77.996086,15.5392065,maintenant
58.758713,7.3124743,maîtresse
74.616425,14.019685,lieu
37.41742,-2.179917,vint
62.75485,19.757814,chef
56.17097,13.008889,effet
24.547705,-6.37749,appartement
53.774464,2.4755573,duchesse
76.235435,16.152296,trouve
55.692867,10.873039,carlos
77.98227,12.779548,france
-26.52013,5.5396357,contenson
18.814095,9.083982,gilet
73.93283,21.104237,as
-31.301796,15.090197,abbé
79.01298,3.3579192,donne
65.10933,20.393957,vivre
23.115501,-7.9525023,dès
61.19035,11.1707115,avons
72.34724,18.965424,secret
43.895927,-7.6604033,corps
-9.178594,33.31658,tableaux
76.420586,-11.020921,quoique
56.57483,17.695625,nuit
-16.20091,-10.446939,malade
8.808881,17.409761,bette
65.02778,16.013212,peine
70.75282,-22.233261,prêtre
12.437989,8.515924,europe
-30.39773,4.369126,rente
77.53577,-7.6262274,pu
79.52465,0.98455477,dernier
-3.6168842,8.581237,président
75.28518,16.036077,vrai
73.905334,17.347034,œuvre
52.027714,-1.2056738,sept
76.76787,12.7209835,regarda
78.88646,0.5435141,lequel
-44.96977,-29.167894,droit
58.061607,13.659866,théâtre
76.8555,15.809726,souvent
57.216316,19.837368,trente
44.660904,-9.014261,malgré
42.26044,7.444346,hôtel
