x_vals,y_vals,labels
56.2218,-16.65051,fini
51.410305,-29.434355,laisser
49.136433,-34.07556,rouge
57.304707,-12.833461,mit
48.909977,-34.53877,droite
47.981956,-36.402744,plein
49.985683,-32.328224,histoire
59.72518,-6.302063,pain
61.074024,-7.3226833,donnait
52.340485,-27.56368,cria
49.645336,-33.035343,mes
55.43906,-20.840673,resta
54.22291,-22.317194,noir
53.514526,-25.241997,tard
56.51564,-16.384808,êtes
57.88192,-15.18334,savoir
58.986217,21.42271,parut
59.948715,-5.9181747,elle-même
45.180027,-41.441216,dernière
60.590786,-5.3045206,train
61.92988,14.970981,passait
61.240265,6.066671,dame
62.028404,-2.449519,dehors
52.949146,-26.26851,dû
-12.628189,32.256508,luc
61.36836,-5.344367,cou
53.64864,-24.647026,part
49.97453,-32.350826,nouvelle
53.00922,-26.206264,vingt
58.6736,-8.978914,façon
54.38778,-23.265244,mis
58.211445,-11.389999,finit
59.757362,-9.801341,sorte
45.801483,-40.424564,six
63.180874,2.1846812,maître
59.948742,-1.5620791,noire
55.5092,-21.176464,route
54.29583,-23.594158,dut
57.525562,-15.133598,entendait
29.686674,49.791325,voulut
50.85444,-30.555481,dit-il
55.36232,-21.951488,murmura
53.231647,-25.742605,grandes
60.06716,5.5978045,là-bas
51.454285,-29.341898,veille
61.41445,4.6055098,jambes
60.470448,-3.861672,prit
59.829395,-2.5022578,souvent
-56.203625,2.8443496,hein
45.340714,-41.181427,quelle
53.0206,-26.124973,montait
58.766083,-3.8941865,regarda
51.145172,-29.967875,effet
61.231876,11.86135,trouver
61.487846,-6.743498,dos
57.4459,-16.750765,parfois
59.295074,-11.599042,parmi
58.978764,-3.1968062,petites
51.74661,-28.766079,chercher
56.596115,-18.286448,colère
48.762142,-34.830444,attendait
57.474064,-15.441353,pâle
61.204025,18.50683,ami
-26.347118,7.135029,coupeau
60.600834,1.8872309,presque
55.1779,-22.576664,jardin
53.802895,-24.748693,pied
54.383083,-22.091898,heureux
57.500397,-16.637724,trouva
59.469963,-9.841331,ensemble
62.8329,5.437728,prenait
45.301895,39.359932,nez
59.247395,-3.6685991,venir
60.11214,-0.6714776,disant
49.902332,-32.50618,notre
55.50091,-21.082006,heureuse
53.3494,-25.52817,continuait
-15.883245,-1.1470164,claude
60.344063,19.258488,parole
59.12675,-6.130041,sûr
57.45861,-15.538467,chair
56.69927,-16.816593,vit
63.1143,6.5753922,vivre
59.998497,-10.657033,vais
54.203903,-22.52227,grosse
58.07431,-12.319557,raison
41.61712,-4.3073196,hélène
54.727287,-22.92731,alla
59.142227,13.070329,tiens
52.5217,-27.203297,arrivait
-15.976064,18.998589,peau
59.295433,7.3694615,travers
49.99661,-32.30402,terrible
55.40869,-20.251413,froid
19.550905,38.99826,tranquille
25.505583,53.575424,dit-elle
50.087936,-32.118317,fortune
56.21482,-19.1935,justement
58.875004,-11.143314,aujourd
60.2841,-8.998056,hui
53.52277,30.329618,attendre
53.958023,-23.011463,passion
59.950047,-5.444334,rendre
51.50178,-29.245052,mettait
59.648285,13.680771,odeur
55.32105,-20.968752,es
61.290325,-0.40764546,blanc
-15.372943,-32.130146,aime
61.38003,-2.152911,vide
7.324959,-2.299222,gorge
53.2287,-25.650066,pleine
55.900463,-18.61122,paix
57.72925,-15.324241,marche
55.272827,-22.10734,minutes
62.1844,0.81024295,mots
59.409145,-12.088994,paroles
49.79139,-32.728134,devenait
52.43335,-27.37137,oncle
50.590668,-31.090557,affaires
60.143353,0.3319063,entrer
62.663113,1.7573787,fût
48.702106,-34.958042,sommes
54.629456,-21.815311,voyant
61.900295,1.5884935,savez
61.556652,18.479881,aperçut
58.768932,17.122534,lentement
59.82426,17.752357,désir
58.461346,-11.000294,possible
54.44442,41.55055,plaisir
62.059185,0.8661278,avais
59.1542,-6.8044963,peut
63.620422,4.7020774,guère
59.958355,-9.204823,passé
57.9879,-12.122266,cri
3.6102579,11.539132,étienne
49.95007,-32.40748,celui-ci
40.278965,39.66535,regards
37.735653,-50.997116,prêtre
57.353237,-12.740009,mariage
43.78617,-43.564835,église
55.817642,-19.612267,foule
50.92417,30.606855,surprise
56.64737,-17.483906,sœur
49.94163,41.906517,robe
60.33308,-3.3259957,filles
50.533916,-31.206078,huit
55.475105,-21.761839,leva
56.92985,-17.511816,bord
56.097668,22.552725,put
55.458694,-19.8658,sortir
51.534153,-29.180922,doigts
56.814938,-16.816416,vue
57.84126,33.74775,dis
15.7203455,25.46432,malade
59.311523,8.294777,quel
54.460297,35.466915,arbres
41.363415,-46.842316,cents
45.581085,40.889835,cuisine
60.78803,19.68991,écoutait
61.87003,2.8335745,faisaient
47.489677,-37.367466,années
58.639446,-13.2957535,allons
26.524126,35.701923,chaise
19.19802,29.047546,escalier
12.429167,39.715763,messieurs
57.900925,-13.192323,figure
51.369038,-29.516018,puisque
53.313183,-25.553265,immense
-2.9410603,-6.64343,pensée
59.321377,-5.1267056,croyait
29.993628,44.016594,coucher
57.989708,-13.470947,flot
20.13789,4.241818,boutique
61.951294,8.662556,chacun
58.02992,-13.361495,frisson
59.074932,-9.501692,vint
58.598747,-11.919537,large
56.82383,-17.808275,vite
57.041756,-18.379734,ancien
61.316463,10.843157,œuvre
56.595627,24.823378,souffle
56.2586,28.746767,octave
-6.983275,-6.9070144,denise
-49.19617,-4.5662193,maurice
53.70038,-24.69465,mademoiselle
56.66149,-17.530851,laissait
63.164394,6.7254543,prise
56.208725,-18.21145,rêve
52.8165,-26.575441,mur
58.694576,-12.827588,tombait
61.91355,8.674784,lumière
60.225437,24.334425,aimait
57.86471,20.546711,telle
60.903564,7.963956,genoux
58.04447,27.753582,tas
61.2078,4.423557,cher
61.713207,10.752999,continua
57.07853,-17.053879,pierre
60.52835,-2.5901268,pouvoir
61.994316,-0.42220107,autrefois
62.96948,4.0844517,furent
53.441174,-25.012276,gardait
61.67561,11.481325,répétait
57.976803,-13.306108,fièvre
30.84132,48.95268,quartier
62.513466,10.18011,mourir
61.99513,4.309532,vent
57.131474,-17.788795,entière
61.229595,13.79573,existence
59.17046,-9.42596,laquelle
47.09764,-38.11336,ta
56.00665,-20.687164,tomber
-10.402865,-22.944292,lazare
21.816975,43.255116,parla
55.029827,-20.712215,rester
56.0139,37.124043,ventre
53.9222,-23.780603,journée
58.921818,-12.953284,chemin
62.6707,5.0667286,ménage
59.02926,-9.731866,oreille
60.61174,22.238468,fer
61.67422,-5.219563,vos
58.735516,-13.457973,cabinet
-9.667455,0.010689638,buteau
60.136032,-4.6041102,ouverte
55.410637,-22.485756,revint
-10.730578,17.325476,thérèse
59.47353,-2.991023,simple
53.545612,-24.253752,grâce
47.453342,-37.437496,venu
59.74908,-3.8679996,morte
60.286015,14.409588,avons
60.06473,16.323345,pièces
51.727528,-28.792885,pays
60.646667,8.311981,voiture
58.025314,26.054586,cour
56.968033,23.328062,doucement
60.112297,-4.123651,longue
54.926727,-21.459347,fenêtres
58.70995,19.373768,faim
52.69593,-26.83166,murs
61.14605,-3.8887775,calme
53.804905,-24.328873,bientôt
53.910854,-24.756117,brusque
60.63463,-6.648789,hôtel
51.10878,-30.042336,au-dessus
8.146424,-21.132675,laurent
55.481934,-19.991623,maisons
31.374624,47.642345,maman
53.92742,-24.44763,arrêta
-19.665218,-12.979774,empereur
36.88595,50.95017,regarder
59.444252,-8.020639,droit
-12.959561,-20.34829,camarades
60.785374,-7.5034423,ordre
50.51217,-31.252518,quinze
61.066513,5.4787126,cause
50.230347,-31.82912,venaient
55.79218,-20.316145,vaste
50.752354,-30.764074,faisant
50.919098,-30.420353,allaient
62.516273,15.436818,monter
48.64173,-35.08114,jeter
60.541187,-2.455396,tendresse
59.95814,0.7081703,vérité
63.47601,17.261803,celle-ci
5.46512,-9.222083,faujas
56.02842,-18.579649,regardant
60.808613,3.0417626,vivement
14.484547,-12.94378,florent
-3.6645927,-7.879671,ouvriers
49.91385,-32.484604,haute
60.39895,-3.6941128,donné
54.407166,-22.032003,mouvement
58.95295,-9.49283,trou
57.390198,18.220732,plassans
20.876926,11.472047,jeanne
60.904205,-4.129109,félicité
59.600803,-2.674793,tel
53.21912,-25.387865,misère
59.340206,-8.739152,allez
60.195534,-4.608378,sortait
59.28543,4.9376574,vin
32.039146,48.830563,fleurs
58.546066,15.38688,demain
61.11293,-0.63397604,minute
59.895687,12.832924,répondre
55.899067,27.18514,sera
54.87249,25.30196,basse
59.02088,-12.846902,pluie
61.442177,-6.9393196,soie
44.851334,42.971508,tante
40.429363,49.840443,montrait
53.040337,34.2974,laissa
59.395348,20.212011,entra
42.134403,41.77537,besogne
-10.280054,-11.985801,clotilde
11.202517,-19.734394,dîner
59.466263,-8.326247,poitrine
55.23144,-20.578312,lieu
56.922047,-16.830105,jaune
58.3285,24.516022,revenait
59.462406,31.314428,léger
54.23329,-23.426298,portes
54.856083,-22.35971,partie
61.340523,14.3450985,membres
57.014896,19.100687,libre
55.884914,28.588589,riait
-24.255411,29.896273,marthe
51.181866,-29.89709,perdu
57.4124,23.329956,nouvelles
60.809628,-7.8478894,partout
53.21805,32.822495,question
53.06829,-26.044096,énorme
52.643757,30.991543,amis
62.589622,14.452593,entrait
52.561863,33.623627,nos
58.668922,14.432914,partir
57.37009,-14.322018,étais
58.814392,-4.55037,ajouta
55.583107,-19.848528,effort
57.001488,-17.084042,faite
11.155394,-2.8073084,café
54.60209,-22.258394,mauvais
55.188656,-20.72223,crois
25.252121,-14.914026,connaissait
58.613243,15.393168,tendre
60.137936,-7.5794315,doit
58.188354,-10.2450905,tranquillement
-23.670889,-38.465706,entendit
58.511646,-11.9919,demander
-52.669666,-7.5853186,lisa
60.50407,-6.6717744,taille
55.579094,31.77196,ténèbres
37.216316,50.964855,voyons
37.979095,46.62631,rires
60.087414,11.970397,état
52.99136,-26.238447,campagne
55.075367,-20.84643,forte
24.384216,42.563988,semaine
62.45007,0.17257741,juste
55.69484,-21.40519,passa
54.58227,26.039219,jeta
56.76986,-17.636341,premiers
59.22838,-10.329044,grosses
10.145232,23.366316,jacques
59.671608,-4.435621,lors
58.927906,-7.55724,semblaient
62.14148,11.903562,peuple
61.029655,17.308022,compagnie
60.455894,-3.6697886,trouvé
57.39545,20.81876,drôle
58.980663,17.539518,cesse
59.991756,-5.688963,comprendre
